AnimalID,Date,Timepoint,Condition,ClusterDirectory,condition_timepoints,timepoints_AnimalID,videoID
c2m5,20241126,d49,healthy,data/nhi_exp2_dappy_formatted/20241126_d49_c2_m5_cylinder_5min_dappy_format.mat,d49_healthy,d49_c2m5_healthy,86
c3m1,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c3_m1_cylinder_5min_dappy_format.mat,d49_stroke,d49_c3m1_stroke,87
c3m2,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c3_m2_cylinder_5min_dappy_format.mat,d49_stroke,d49_c3m2_stroke,88
c3m3,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c3_m3_cylinder_5min_dappy_format.mat,d49_stroke,d49_c3m3_stroke,89
c3m4,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c3_m4_cylinder_5min_dappy_format.mat,d49_stroke,d49_c3m4_stroke,90
c3m5,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c3_m5_cylinder_5min_dappy_format.mat,d49_stroke,d49_c3m5_stroke,91
c4m1,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c4_m1_cylinder_5min_dappy_format.mat,d49_stroke,d49_c4m1_stroke,92
c4m2,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c4_m2_cylinder_5min_dappy_format.mat,d49_stroke,d49_c4m2_stroke,93
c4m3,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c4_m3_cylinder_5min_dappy_format.mat,d49_stroke,d49_c4m3_stroke,94
c4m4,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c4_m4_cylinder_5min_dappy_format.mat,d49_stroke,d49_c4m4_stroke,95
c4m5,20241126,d49,stroke,data/nhi_exp2_dappy_formatted/20241126_d49_c4_m5_cylinder_5min_dappy_format.mat,d49_stroke,d49_c4m5_stroke,96
c5m1,20241126,d49,sham,data/nhi_exp2_dappy_formatted/20241126_d49_c5_m1_cylinder_5min_dappy_format.mat,d49_sham,d49_c5m1_sham,97
c5m2,20241126,d49,sham,data/nhi_exp2_dappy_formatted/20241126_d49_c5_m2_cylinder_5min_dappy_format.mat,d49_sham,d49_c5m2_sham,98
c5m3,20241126,d49,sham,data/nhi_exp2_dappy_formatted/20241126_d49_c5_m3_cylinder_5min_dappy_format.mat,d49_sham,d49_c5m3_sham,99
c5m4,20241126,d49,sham,data/nhi_exp2_dappy_formatted/20241126_d49_c5_m4_cylinder_5min_dappy_format.mat,d49_sham,d49_c5m4_sham,100
c5m5,20241126,d49,sham,data/nhi_exp2_dappy_formatted/20241126_d49_c5_m5_cylinder_5min_dappy_format.mat,d49_sham,d49_c5m5_sham,101
c6m1,20241126,d49,sham,data/nhi_exp2_dappy_formatted/20241126_d49_c6_m1_cylinder_5min_dappy_format.mat,d49_sham,d49_c6m1_sham,102
c6m2,20241126,d49,sham,data/nhi_exp2_dappy_formatted/20241126_d49_c6_m2_cylinder_5min_dappy_format.mat,d49_sham,d49_c6m2_sham,103
c6m3,20241126,d49,sham,data/nhi_exp2_dappy_formatted/20241126_d49_c6_m3_cylinder_5min_dappy_format.mat,d49_sham,d49_c6m3_sham,104
